id,name,artists,instruments,speechiness,instrumentalness,key,mode,tempo,loudness,theme,chords_1,chords_2,chords_1_numeric,chords_2_numeric,normal_chords_1_numeric,normal_chords_2_numeric,diff_chords_1_numeric,diff_chords_2_numeric
2ISUiwj8xXqHeUFcen0AIU,Grow A Pear,Kesha,"['piano', 'drums']",0.0508,0.000341,0,1,120.011,-3.891,Last night I had enough of you I put down the bricks And I could tell you took it hard it was over your face Since you're slippin and flippin,"['C', 'G', 'Am', 'F']","['F', 'G', 'C', 'Am']","[0, 7, 21, 5]","[5, 7, 0, 21]","[0, 7, 21, 5]","[5, 7, 0, 21]","[7, 14, -16]","[2, -7, 21]"
0lUSd7TCG8srh6HpIAEIWL,Power,Little Mix,"['bass', 'drums']",0.211,0.000157,7,1,172.966,-4.016,"Hold up, no you didn't bow, bow I ain't the chick to walk behind you around town Just cause you're packin', packin', whoop, down south That don't mean I'm ever gonna take it laying down, baby","['E', 'B', 'C#m', 'A']","['E', 'B', 'C#m', 'A']","[4, 11, 13, 9]","[4, 11, 13, 9]","[-3, 4, 6, 2]","[-3, 4, 6, 2]","[7, 2, -4]","[7, 2, -4]"
1YaVmBh7EAeR54FIjuFcb5,Naturally,Selena Gomez & The Scene,"['piano', 'guitar']",0.0511,1.01e-06,10,0,132.612,-5.406,"The theme of ""Naturally"" by Selena Gomez & The Scene revolves around the effortless and genuine feelings of love that arise without pretense or artifice. It captures the joy and excitement of a connection that feels instinctive and authentic, celebrating how true emotions can flow naturally between two people.","['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'G']","[0, 7, 21, 5]","[0, 7, 5, 7]","[-10, -3, 11, -5]","[-10, -3, -5, -3]","[7, 14, -16]","[7, -2, 2]"
00ko8Vr9Hbw0hJC9laqBOj,Hannah Montana,flowerovlove,"['piano', 'guitar']",0.0809,0.0,0,1,114.073,-7.922,"The song ""Hannah Montana"" by flowerovlove explores themes of identity and self-acceptance as it reflects on the duality of living a public life versus personal truth. It captures the struggles of navigating fame and the desire for authenticity amidst external pressures.","['C', 'G', 'Am', 'F']","['F', 'G', 'Em', 'C']","[0, 7, 21, 5]","[5, 7, 16, 0]","[0, 7, 21, 5]","[5, 7, 16, 0]","[7, 14, -16]","[2, 9, -16]"
5iV4zM0LZKiiRoUj2zVWSD,Very Online Guy,Alvvays,"['synthesizer', 'drums']",0.067,1.95e-06,7,1,143.039,-3.766,He's a very online guy He likes to hit reply He's incredibly vigilant Hair with the feathered wings,"['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'C']","[0, 7, 21, 5]","[0, 7, 5, 0]","[-7, 0, 14, -2]","[-7, 0, -2, -7]","[7, 14, -16]","[7, -2, -5]"
14BJVFg03Ep2iytTOSCEy1,Good 2 Yourself,LISP,"['piano', 'synthesizer']",0.0714,0.2,2,1,109.024,-8.44,"The theme of ""Good 2 Yourself"" by LISP centers around self-empowerment and the importance of prioritizing one's own well-being. It encourages listeners to embrace self-love and resilience in the face of challenges and negativity.","['C', 'G', 'Am', 'F']","['G', 'D', 'Em', 'C']","[0, 7, 21, 5]","[7, 2, 16, 0]","[-2, 5, 19, 3]","[5, 0, 14, -2]","[7, 14, -16]","[-5, 14, -16]"
6AWssBCESVyeRIlaHzNIDA,Tomorrow,okaywill,"['piano', 'synthesizer']",0.0319,0.0243,10,1,122.0,-8.268,"The song ""Tomorrow"" by okaywill conveys a message of hope and resilience, emphasizing the importance of looking forward to a brighter future despite present struggles. It reflects on the challenges faced in life while encouraging listeners to remain optimistic and believe in the potential for change.","['C', 'G', 'Am', 'F']","['C', 'Am', 'F', 'G']","[0, 7, 21, 5]","[0, 21, 5, 7]","[-10, -3, 11, -5]","[-10, 11, -5, -3]","[7, 14, -16]","[21, -16, 2]"
4X4oL9EeChd7ab72TzFwyu,Heartbeat,Babeheaven,"['guitar', 'keyboard']",0.0283,0.0744,10,1,112.01,-8.683,"The theme of ""Heartbeat"" by Babeheaven revolves around longing and emotional connection, exploring the complexities of love and desire. The lyrics convey a sense of vulnerability and hope, reflecting the struggle to maintain intimacy in relationships despite external challenges.","['C', 'F', 'Am', 'G']","['C', 'G', 'Am', 'F']","[0, 5, 21, 7]","[0, 7, 21, 5]","[-10, -5, 11, -3]","[-10, -3, 11, -5]","[5, 16, -14]","[7, 14, -16]"
47defvHjwnCdKjFoTdvDtP,Is It Light Where You Are,Art School Girlfriend,"['synthesizer', 'guitar']",0.0367,0.648,2,1,115.058,-13.11,"The song ""Is It Light Where You Are"" by Art School Girlfriend explores themes of longing and emotional distance, capturing the feeling of yearning for connection while grappling with separation. The lyrics convey a sense of vulnerability and introspection, reflecting on the impact of absence in a relationship.","['Am', 'F', 'C', 'G']","['F', 'C', 'G', 'Am']","[21, 5, 0, 7]","[5, 0, 7, 21]","[19, 3, -2, 5]","[3, -2, 5, 19]","[-16, -5, 7]","[-5, 7, 14]"
5CcJO1rz0V06SYH3Fc2Y2t,Donna,Rubblebucket,"['trumpet', 'bass']",0.101,0.0128,11,0,112.056,-3.582,Yea Yea Yea Yea,"['C', 'G', 'Am', 'F']","['F', 'C', 'G', 'Am']","[0, 7, 21, 5]","[5, 0, 7, 21]","[-11, -4, 10, -6]","[-6, -11, -4, 10]","[7, 14, -16]","[-5, 7, 14]"
